titleType,originalTitle,genres,runtimeMinutes,startYear,isAdult,averageRating,region,actor,actress,director,producer
movie,Zombie,Horror,92.0,1971.0,0,3.4,US,"Walter Coy, William Joyce, Dan Stapleton",Heather Hewitt,Del Tenney,
movie,Al-ard,Drama,130.0,1970.0,0,8.2,XWW,"Hamdy Ahmed, Ezzat El Alaili, Mahmoud Al Meleji",Nagwa Ibrahim,Youssef Chahine,
movie,Le boucher,"Drama,Thriller",93.0,1970.0,0,7.5,XWW,"Pascal Ferone, Antonio Passalia, Jean Yanne",Stéphane Audran,Claude Chabrol,André Génovès
movie,Les choses de la vie,"Drama,Romance",89.0,1970.0,0,7.6,HK,"Jean Bouise, Gérard Lartigau, Michel Piccoli",Romy Schneider,Claude Sautet,"Jean Bolvary, Raymond Danon"
movie,Colossus: The Forbin Project,"Sci-Fi,Thriller",100.0,1970.0,0,7.1,IE,"Eric Braeden, Gordon Pinsent, William Schallert",Susan Clark,Joseph Sargent,Stanley Chase
movie,Dernier domicile connu,"Crime,Thriller",105.0,1970.0,0,7.0,XWW,"Michel Constantin, Paul Crauchet, Lino Ventura",Marlène Jobert,José Giovanni,
movie,L'enfant sauvage,Drama,83.0,1970.0,0,7.5,XWW,"François Truffaut, Jean-Pierre Cargol, Jean Dasté",Françoise Seigner,,
movie,The Honeymoon Killers,"Crime,Drama,Romance",107.0,1970.0,0,7.0,CA,Tony Lo Bianco,"Doris Roberts, Mary Jane Higby, Shirley Stoler","Leonard Kastle, Donald Volkman",Warren Steibel
movie,Xia nü,"Action,Adventure,Drama",200.0,1971.0,0,7.6,HK,"Ying Bai, Billy Chan, Chun Shih",Feng Hsu,King Hu,Liang Fang Hsia-Wu
movie,De Sade 70,"Drama,Horror",87.0,1970.0,0,5.4,US,"Christopher Lee, Jack Taylor","Marie Liljedahl, Maria Rohm",Jesús Franco,
